fr_name	fr_abbr	en_name	en_abbr
Développement économique Canada pour les régions du Québec 	DEC	Canada Economic Development for Quebec Regions 	CED
Diversification de l'économie de l'Ouest Canada 	DEO	Western Economic Diversification Canada 	WD
École de la fonction publique du Canada 	EFPC	Canada School of Public Service 	CSPS
Élections Canada 	Élections	Elections Canada 	Elections
Emploi et Développement social Canada 	EDSC	Employment and Social Development Canada 	ESDC
Énergie atomique du Canada, Limitée 	EACL	Atomic Energy of Canada Limited 	AECL
Enquêteur correctionnel Canada 	BEC	Correctional Investigator Canada 	OCI
Environnement et Changement climatique Canada 	ECCC	Environment and Climate Change Canada 	ECCC
Exportation et développement Canada 	EDC	Export Development Canada 	EDC
Femmes et Égalité des genres Canada 	FEGC	Women and Gender Equality Canada 	WAGE
Financement agricole Canada 	FAC	Farm Credit Canada 	FCC
Finances Canada, Ministère des 	FIN	Finance Canada (Department of) 	FIN
Fondation canadienne des relations raciales 	FCRR	Canadian Race Relations Foundation 	CRRF
Garde côtière canadienne 	GCC	Canadian Coast Guard 	CCG
Gendarmerie royale du Canada 	GRC	Royal Canadian Mounted Police 	RCMP
Gouverneur général du Canada 	BSGG	Governor General of Canada 	OSGG
Greffe du Tribunal des revendications particulières du Canada 	TRP	Registry of the Specific Claims Tribunal of Canada 	SCT
Immigration, Réfugiés et Citoyenneté Canada 	IRCC	Immigration, Refugees and Citizenship Canada 	IRCC
Infrastructure Canada 	INFC	Infrastructure Canada 	INFC
Innovation, Sciences et Développement économique Canada 	ISDE	Innovation, Science and Economic Development Canada 	ISED
Institut canadien de conservation 	ICC	Canadian Conservation Institute 	CCI
Institutions démocratiques 		Democratic Institutions 	
Instituts de recherche en santé du Canada 	IRSC	Canadian Institutes of Health Research 	CIHR
Jeunesse 	JEUNESSE	Youth 	YOUTH
Justice Canada, Ministère de la 	JUS	Justice Canada (Department of) 	JUS
Le cabinet du juge militaire en chef 	CJMC	Office of the Chief Military Judge 	OCMJ
Leader du gouvernement à la Chambre des communes 		Leader of the Government in the House of Commons 	
Marine Atlantique 	MarineAtlantique	Marine Atlantic 	MarineAtlantic
Marine royale canadienne 	MRC	Royal Canadian Navy 	RCN
Mesures Canada 	MC	Measurement Canada 	MC
Monnaie royale canadienne 	Monnaie	Royal Canadian Mint 	Mint
Musée canadien de l'histoire 	MCH	Canadian Museum of History 	CMH
Musée canadien de l'immigration du Quai 21 	MCIQ	Canadian Museum of Immigration at Pier 21 	CMIP
Musée canadien de la guerre 		Canadian War Museum 	
Musée canadien de la nature 	MCN	Canadian Museum of Nature 	CMN
Musée canadien pour les droits de la personne 	MCDP	Canadian Museum for Human Rights 	CMHR
Musée de l'agriculture et de l'alimentation du Canada 		Canada Agriculture and Food Museum 	
Musée de l'aviation et de l'espace du Canada 		Canada Aviation and Space Museum 	
Musée de la Banque du Canada 		Bank of Canada Museum 	
Musée des beaux-arts du Canada 	MBAC	National Gallery of Canada 	NGC
Musée des sciences et de la technologie du Canada 		Canada Science and Technology Museum 	
Musée virtuel du Canada 	MVC	Virtual Museum of Canada 	VMC
Office d'investissement des régimes de pensions du secteur public 	Investissements PSP	Public Sector Pension Investment Board 	PSP Investments
Office d'investissement du régime de pensions du Canada 	OIRPC	Canada Pension Plan Investment Board 	CPPIB
Office de commercialisation du poisson d'eau douce 	OCPED	Freshwater Fish Marketing Corporation 	FFMC
Office de la propriété intellectuelle du Canada 	OPIC	Canadian Intellectual Property Office 	CIPO
Office des technologies industrielles 	OTI	Industrial Technologies Office 	ITO
Office des transports du Canada 	OTC	Canadian Transportation Agency 	CTA
Office national de l'énergie 	ONE	National Energy Board 	NEB
Office national du film 	ONF	National Film Board 	NFB
Ombudsman des vétérans 		Veterans' Ombudsman (Office of the) 	
Organisation canadienne d’élaboration des normes d’accessibilité 	OCENA	Canadian Accessibility Standards Development Organization 	CASDO
Parcs Canada 	PC	Parks Canada 	PC
Parlement du Canada 		Parliament of Canada 	
Patrimoine canadien 	PCH	Canadian Heritage 	PCH
Pêches et Océans Canada 	MPO	Fisheries and Oceans Canada 	DFO
Pétrole et gaz des Indiens du Canada 		Indian Oil and Gas Canada 	
Pont Blue Water Canada 	PBW	Blue Water Bridge Canada 	BWB
Ponts Jacques-Cartier et Champlain 	PJCCI	Jacques Cartier and Champlain Bridges 	JCCBI
Postes Canada 	SCP	Canada Post 	CPC
Premier ministre du Canada 		Prime Minister of Canada 	
Programme du travail 		Labour Program 	
Radio Canada 	Radio-Canada	CBC/Radio-Canada 	CBC
Recherche et développement pour la Défense Canada 	RDDC	Defence Research and Development Canada 	DRDC
Relations Couronne-Autochtones et Affaires du Nord Canada 	RCAANC	Crown-Indigenous Relations and Northern Affairs Canada 	CIRNAC
Réseau canadien d'information sur le patrimoine 	RCIP	Canadian Heritage Information Network 	CHIN
Ressources naturelles Canada 	RNCan	Natural Resources Canada 	NRCan
Révision de la protection de l'environnement Canada 	RPEC	Environmental Protection Review Canada 	EPRC
Ridley Terminals Inc. 		Ridley Terminals Inc. 	
Santé Canada 	SC	Health Canada 	HC
Savoir polaire Canada 	POLAIRE	Polar Knowledge Canada 	POLAR
Secrétariat des conférences intergouvernementales canadiennes 	SCIC	Canadian Intergovernmental Conference Secretariat 	CICS
Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement 	CPSNR	Secretariat of the National Security and Intelligence Committee of Parliamentarians 	NSICOP
Secrétariat du Conseil du Trésor du Canada 	SCT	Treasury Board of Canada Secretariat 	TBS
Sécurité publique Canada 	SP	Public Safety Canada 	PS
Service administratif des tribunaux judiciaires 	SATJ	Courts Administration Service 	CAS
Service Canada 	ServCan	Service Canada 	ServCan
Service canadien d'appui aux tribunaux administratifs 	SCDATA	Administrative Tribunals Support Service of Canada 	ATSSC
Service canadien du renseignement de sécurité 	SCRS	Canadian Security Intelligence Service 	CSIS
Service correctionnel Canada 	SCC	Correctional Service Canada 	CSC
Service des délégués commerciaux du Canada 	SDC	Canadian Trade Commissioner Service 	TCS
Service des poursuites pénales du Canada 	SPPC	Public Prosecution Service of Canada 	PPSC
Services aux Autochtones Canada 	SAC	Indigenous Services Canada 	ISC
Services partagés Canada 	SPC	Shared Services Canada 	SSC
Services publics et Approvisionnement Canada 	SPAC	Public Services and Procurement Canada 	PSPC
Société canadienne d'hypothèques et de logement 	SCHL	Canada Mortgage and Housing Corporation 	CMHC
Société d'assurance-dépôts du Canada 	SADC	Canada Deposit Insurance Corporation 	CDIC
Société des ponts fédéraux 	SPFL	Federal Bridge Corporation 	FBCL
Société immobilière du Canada Limitée 	SIC	Canada Lands Company Limited 	CLC
Statistique Canada 	StatCan	Statistics Canada 	StatCan
Téléfilm Canada 		Telefilm Canada 	
Transports Canada 	TC	Transport Canada 	TC
Tribunal canadien du commerce extérieur 	TCCE	Canadian International Trade Tribunal 	CITT
Tribunal d'appel des transports du Canada 	TATC	Transportation Appeal Tribunal of Canada 	TATC
Tribunal de la concurrence 		Competition Tribunal 	
Tribunal de la protection des fonctionnaires divulgateurs Canada 	TPFDC	Public Servants Disclosure Protection Tribunal Canada 	PSDPTC
Tribunal de la sécurité sociale du Canada 	TSS	Social Security Tribunal of Canada 	SST
Tribunal de santé et sécurité au travail Canada 	TSSTC	Occupational Health and Safety Tribunal Canada 	OHSTC
Tribunal des anciens combattants (révision et appel) 	TACRA	Veterans Review and Appeal Board 	VRAB
Tribunal des droits de la personne du Canada 	TDPC	Human Rights Tribunal of Canada 	HRTC
VIA Rail Canada 	VIA Rail	VIA Rail Canada 	VIA Rail
